DSC01088.JPG,468,2285,810,2577,bicycle
DSC01088.JPG,2754,2120,2872,2555,person
DSC01088.JPG,3554,2142,3719,2650,person
DSC01088.JPG,3776,2149,3966,2647,person
DSC01088.JPG,3947,2092,4032,2339,person
DSC01088.JPG,5181,2120,5349,2564,person
DSC01088.JPG,5161,2276,5349,2605,bicycle
DSC01088.JPG,5377,2066,5470,2475,person
DSC01088.JPG,3522,2146,3589,2323,person
DSC01089.JPG,0,1934,293,2531,car
DSC01089.JPG,1031,1782,1201,2278,person
DSC01089.JPG,1281,1779,1466,2263,person
DSC01089.JPG,1966,1876,2954,2718,car
DSC01089.JPG,2411,1880,3064,2490,car
DSC01089.JPG,2617,1806,2779,1929,car
DSC01089.JPG,2179,1810,2205,1920,person
DSC01089.JPG,2591,1801,2649,1982,person
DSC01089.JPG,145,2029,676,2353,bicycle
DSC01089.JPG,330,2060,734,2322,bicycle
DSC01089.JPG,550,1996,1038,2297,bicycle
DSC01089.JPG,668,1971,1104,2252,bicycle
DSC01089.JPG,912,1938,1282,2207,bicycle
DSC01089.JPG,971,1954,1343,2185,bicycle
DSC01089.JPG,1240,1930,1511,2119,bicycle
DSC01089.JPG,1337,1930,1582,2088,bicycle
DSC01089.JPG,1367,1937,1607,2083,bicycle
DSC01089.JPG,1477,1938,1675,2060,bicycle
DSC01089.JPG,1561,1923,1756,2051,bicycle
DSC01089.JPG,4100,2039,4802,2502,bicycle
DSC01089.JPG,4141,2076,4763,2478,bicycle
DSC01089.JPG,4520,1942,5035,2385,bicycle
DSC01089.JPG,3979,1983,4564,2427,bicycle
DSC01089.JPG,3950,2001,4494,2398,bicycle
DSC01089.JPG,3594,1992,4163,2328,bicycle
DSC01089.JPG,3562,1959,4081,2269,bicycle
DSC01090.JPG,2938,1448,3204,2183,person
DSC01090.JPG,2858,1760,3244,2276,bicycle
DSC01090.JPG,1932,1522,2267,1786,bicycle
DSC01090.JPG,4631,1387,4789,1737,person
DSC01090.JPG,4867,1408,4996,1763,person
DSC01090.JPG,5102,1400,5168,1589,person
DSC01090.JPG,5331,1370,5464,1594,person
DSC01090.JPG,2927,1326,3147,1846,person
DSC01090.JPG,5047,1462,5208,1574,bicycle
DSC01090.JPG,5309,1454,5471,1577,bicycle
DSC01091.JPG,1391,1044,2628,3230,person
DSC01091.JPG,1473,1928,2726,3555,bicycle
DSC01091.JPG,2221,908,2823,2888,person
DSC01091.JPG,2823,952,3561,3046,person
DSC01091.JPG,3393,968,3919,2932,person
DSC01091.JPG,3940,1060,4537,2997,person
DSC01092.JPG,1082,1511,1641,1863,bicycle
DSC01092.JPG,2189,1180,2818,2628,person
DSC01092.JPG,2172,1847,2823,2791,bicycle
DSC01092.JPG,3398,1115,4016,2552,person
DSC01092.JPG,3387,1717,4082,2780,bicycle
DSC01094.JPG,4905,693,4968,879,person
DSC01094.JPG,4679,693,4875,1155,person
DSC01094.JPG,4682,912,4872,1229,bicycle
DSC01094.JPG,4279,699,4442,1169,person
DSC01094.JPG,4116,656,4269,1182,person
DSC01094.JPG,3846,669,4089,1172,person
DSC01094.JPG,3390,713,3576,1242,person
DSC01094.JPG,3217,649,3403,1239,person
DSC01094.JPG,2507,663,2724,1362,person
DSC01094.JPG,2361,746,3533,2594,person
DSC01094.JPG,2624,1498,3496,2964,bicycle
DSC01094.JPG,2227,660,2462,1329,person
DSC01094.JPG,4804,685,4881,932,person
DSC01094.JPG,4956,713,5010,844,person
DSC01094.JPG,4999,704,5050,833,person
DSC01094.JPG,5065,727,5116,820,person
DSC01095.JPG,1755,1202,2486,2601,person
DSC01095.JPG,1625,1806,2489,2815,bicycle
DSC01096.JPG,2411,1385,2826,3178,person
DSC01096.JPG,2527,1273,3214,3286,person
DSC01097.JPG,735,1881,3234,3144,car
DSC01097.JPG,2948,1859,4479,2743,car
DSC01097.JPG,4215,2054,4996,2573,bicycle
DSC01097.JPG,4826,2005,5472,2511,bicycle
DSC01097.JPG,4342,2087,5080,2563,bicycle
DSC01099.JPG,2216,1814,2625,2758,person
DSC01099.JPG,2201,2274,2692,2918,bicycle
DSC01099.JPG,3140,1956,3441,2245,bicycle
